text,retweet,likes,target
ancora caso maltrattamenti uomo chiaromonte pz è stato arrestato aver aggredito ex convivente,1,0,1
false denunce non esistono donna denuncia va sempre creduta motivo avrebbe mentire 😊 falsedenunc,8,0,2
senso responsabilità e sua visione possano essere esempio tutte e tutti buon lavoro presiden,13,0,2
quando legge non funziona violenzasulledonne codicerosso,0,0,1
diavolo ha fatto rimanere sul posto lavoro precedenti denunce carico e l autista dell ambulanza non pervenuto violenzasulledonne nonunadimeno febbraio,0,1,0
senso responsabilità e sua visione possano essere esempio tutte e tutti buon lavoro presiden,13,0,2
febbraio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
bello video violenciacontramulher violenzasulledonne,0,1,2
senso responsabilità e sua visione possano essere esempio tutte e tutti buon lavoro presidente mattarella mattarellabis violenzasulledonne s,13,23,2
impedire violenzasulledonne piaga profonda va contrastata forza mattarellabis giuramento,1,0,1
mattarella dignità è impedire violenzasulledonne piaga profonda e inaccettabile deve essere sanata l educ,1,0,1
impedire violenzasulledonne piaga profonda va contrastata forza mattarellabis giuramento,1,3,1
mattarella dignità è impedire violenzasulledonne piaga profonda e inaccettabile deve essere sanata l educazione e l esempio quirinale giuramento,1,7,1
presidente mattarella ricorda lorenzoparelli morto fabbrica durante progetto scuola lavoro e richiama l attenzione contro antisemitismo e aggressioni alle minoranze e violenzasulledonne praticamente più applauso al minuto tenete conto colleghi,0,1,1
tutti campo contro violenza sulle donne occasione della giornata contro violenza sulle donne uisp chia,1,0,1
avrebbe abusato dentro ambulanza studentessa universitaria approfittando della fatto ragazza si era sentita male aver bari violenzasessuale violenzasulledonne s t co clfgwqnxfm,0,0,0
solo memo e antidoto propaganda violenzasulledonne italia è fenomeno gonfiato motivi business,5,0,1
cambiamocultura potete leggere l intervista all artista eli b stilista designer e firma della collezione ha sfilato budapest fashion novembre occasione della giornata contro violenzasulledonne,0,0,0
femminicidi inizio anno incremento dell rispetto al ognuno deve sentirne peso sulle spal,344,0,1
chi ha paura del linguaggio si può parlare tutto anche bambini basta sapere scegliere parole giuste violenzasulledonne,0,0,1
mi piace pensare questa danza petali rossi sia grido forte e potente tutte quelle donne violentate e uccise,630,0,2
bambini sottratti crimini invisibili stolen children invisible crimes report by luisa betti dakli sott en campagna contro violenza maschile sulle donne crimininvisibili donnexdiritti violenzasulledonne bambini febbraio,0,1,1
oggi febbraio sono donne vittime violenza vogliamo smettere contare uilca uil mobbing e stalking contro ogni forma violenza genere privi donne libertà dignità e futuro femminicidio violenzasulledonne,0,4,1
febbraio giornata mondiale contro violenzasulledonne nonunadimeno ancora altro giorno,0,0,0
siamo oltre violenzasulledonne spftez,0,0,1
slfg assurdità se non reagisci secondi non é violenza abusi donne violenzasulledonne,0,1,1
donne ferite devono sentirsi al sicuro e protette subito se fanno primo passo secondo dobbiamo farlo,48,0,1
violenzasulledonne anche questa non vi siete smentiti schifo dimenticate svelta esser stati dati luce donna come massacrate raptus gelosia 🤗,0,1,2
gennaio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
enne è stato arrestato dai carabinieri catania ordine del gip del tribunale della città etnea catania violenzasessuale violenzasulledonne s t co nlppxqvkd,0,0,1
violenzasulledonne zelig buon spettacolo tutti stasera,27,0,2
quando si smetterà cercare mille stupide scuse colpevolizzare vittima punire vero colpevole violenzasulledonne nonunadimeno s t co vofsqaorh,0,1,0
se avesse rubato portafoglio sarebbe stato valutato solo furto non reazione della derubata ma tribunale trenta secondi reagire sarebbero troppi molestia hostess violenzasulledonne,12,18,1
gennaio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
occasione della giornata sulla violenza contro donne narratore audiolibri vi propone selezione audiolibr,3,0,1
cari maniaci sessuali e sprezzanti delle donne genere non temete avete sempre grande rete sicurezza nella magistratura italiana racconto è credibile ma ha reagito tardi cosa sessismogiudiziario molestie violenzasulledonne sh,0,7,1
gennaio cosa significa non essere credute vittimizzazione secondaria nei tribunali sulla del vivere,3,0,2
considerato palpeggiamento della giornalista si deduce mano morta non è ancora stato fatto funerale,2,0,2
corpo degli uomini e corpo delle donne pacca sul sedere greta beccaglia sullo sfondo della tragedia rav,1,0,1
molestie subite diretta gretabeccaglia giornalista toscana tv sono gesto ignobile attacco alle l,602,0,1
risorse della pseudosinistra combattere patriarcato e violenzadigenere,0,0,1
infiltrato maschilisti siiw via maschilismo feminism femminismo mgtow incel redpill feminist femminista uomo donna uguaglianza violenzadigenere,0,0,1
come uccidere uomo senza spargimento sangue raffinata specialità femminile dirittimaschili violenzadigenere,3,0,0
progetto maree cav randi abbiamo organizzato incontri aperti violenzadigenere tratta violenzasuiminori violenzaassistita vittimizzazionesecondaria trauma affrontandone anche aspetti antropologici e legali online iscrizioni mail locandina,0,0,1
violenzadigenere senza filtri osservata uomo ed espressa uomo tre minuti this is manifesto l ultimo cortometraggio ippogrifo produzioni firmato dal regista veronese alberto rizzi sxvgrm,0,0,1
febbraio youtube torvergata cittadinanza attiva e paritaria decostruzione degli stereotipi sociali prevenire e contrastare violenzadigenere ssbpeeit,0,3,1
risorse cui pseudosinistra riempie l italia e l europa decenni femministe radical chic siete azione combattere patriarcato e violenzadigenere,0,0,1
chi sono persone bisessuali e quali rischi hanno quando si nascondono sex amigay comingout msmw depressione abuso stupefacenti violenzadigenere ipv,0,0,0
palazzospada confronto giudice amministrativo e penale tutela preventiva vittime violenzadigenere pres,1,0,1
violenzadigenere e stato presentato pesaro sicurezzavera progetto nazionale prevenzione della violenz,1,0,1
violenzadigenere e stato presentato pesaro sicurezzavera progetto nazionale prevenzione della violenza genere fipe confcommercio e polizia stato scopri più,1,1,1
mescolano l hiphop tradizione musicale rom e l attivismo diritti ragazze e donne nella propria comunità,1,0,1
convegno benevento sul tema dall analfabetismo emotivo violenza genere spazio acli unisannio analfabetismoemotivo violenzadigenere donne benevento suobgdum,0,0,2
abruzzo gennaio sabato violenzadigenere segregataincasa botteallacompagna avezzano picchiata e segregata casa arrestato vive struttura protetta s t co kdqmrx,0,0,2
spagna nuove leggi contro violenzadigenere spagna si sta sempre più perfezionando cercare,1,0,2
spagna nuove leggi contro violenzadigenere spagna si sta sempre più perfezionando cercare contrastare violenze genere italia violenze aumentano link all articolo sxxornxuei,1,2,2
non ho parole solo parolacce 😠 femminicidio stopviolenzasulledonne,0,0,0
questa cosa va ricordata sempre e non solo oggi nonunadimeno stopviolenzasulledonne,348,0,0
parole hanno peso mandano frantumi sensibilità chi ascolta alessandro corbelli riflessionialessandrocorbelli veritàegiustiziaperirenepalacino bambinavenduta nomafia roma nonunadimeno alessandrocorbelli bastaviolenzasulledonne marzo,0,1,0
conservatori dicono donna lesbica testa rasata sembra uomo nonunadimeno chiede donna lesbica se è non binaria testa rasata,0,0,2
ancora e ancora nonunadimeno civogliamovive femminicidi,0,0,0
violenza del giorno donna reggioemilia anni l avrebbe bloccata sedile del treno costringendo,4,0,1
buon fine settimana clip alcuni flash mob veritàegiustiziaperirenepalacino bambinavenduta nomafia roma nonunadimeno alessandrocorbelli bastaviolenzasulledonne marzo lestoriedialessiobelli sisq,0,1,1
violenza del giorno donna reggioemilia anni l avrebbe bloccata sedile del treno costringendola subire carezze e palpeggiamenti intimi anni è stata soccorsa coetaneo sì è strutturale donne femminismo nonunadimeno,4,10,1
miele ️ riflessionialessandrocorbelli lestoriedialessiobelli marzo veritàegiustiziaperirenepalacino bambinave,1,0,1
clip verit e giustizia irene palacino veritàegiustiziaperirenepalacino bambinavenduta nomafia alessandrocorbelli nonunadimeno roma marzo rome italy,0,0,0
diavolo ha fatto rimanere sul posto lavoro precedenti denunce carico e l autista dell ambulanza non pervenuto violenzasulledonne nonunadimeno febbraio,0,1,0
febbraio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
miele ️ riflessionialessandrocorbelli lestoriedialessiobelli marzo veritàegiustiziaperirenepalacino bambinavenduta nomafia roma nonunadimeno go bastaviolenzasulledonne books,1,1,0
violenza del giorno donna bari sedata e violentata oltre due ore ambulanza paramedico volon,2,0,1
violenza del giorno donna bari sedata e violentata oltre due ore ambulanza paramedico volontario l aveva soccorsa dopo aveva bevuto troppo ad festa arrestato enne sì è strutturale donne femminismo nonunadimeno,2,4,2
nostra società crollerebbe senza lavoro non pagato delle donne sì persone tutti sessi fanno lavoro non ret,3,0,0
credo uomo non abbia fatto qualcosa senza donna non abbia spinto farla alessandro corbelli veritàegiustiziaperirenepalacino bambinavenduta nomafia alessandrocorbelli bastaviolenzasulledonne nonunadimeno marzo co,0,0,0
credo uomo non abbia fatto qualcosa senza donna non abbia spinto farla alessandro corbelli veritàegiustiziaperirenepalacino bambinavenduta nomafia alessandrocorbelli bastaviolenzasulledonne nonunadimeno marzo covid,0,1,0
era solo questione tempo femminicidio nonunadimeno,0,0,0
quando strada dobbiamo ancora fare anche l ultima si alzi e parli favore difendere l uomo circolo canottieri aniene chiuso alle donne silenzio delle atlete pellegrini non cerchiamo pelo nell uovo nonunadimeno,0,1,0
ogni maledettissimo giorno femminicidio nonunadimeno rosa morta strangolata disperazione del papà sta,0,0,0
l ennesimo femminicidio nonunadimeno,0,1,0
storiedialessiobelli alessandrocorbelli roma nomafia veritàegiustiziaperirenepalacino bambinavenduta bastaviolenzasulledonne nonunadimeno,1,0,0
donneafganelibere afghanistan nonunadimeno afganistanwomen talebani odiano sportive storia cicliste afghane scappate italia ssuite,0,0,0
storiedialessiobelli alessandrocorbelli roma nomafia veritàegiustiziaperirenepalacino bambinavenduta bastaviolenzasulledonne nonunadimeno,0,1,0
ssandro corbelli lestoriedialessiobelli alessandrocorbelli roma nomafia veritàegiustiziaperirenepalacino bambinavenduta bastaviolenzasulledonne nonunadimeno,0,0,0
febbraio giornata mondiale contro violenzasulledonne nonunadimeno ancora altro giorno,0,0,0
️gustose pietanze mare al mare non c è nulla più bello quando ti spalmi crema s alessandro corbelli lestoriedialessiobelli alessandrocorbelli roma veritàegiustiziaperirenepalacino bambinavenduta bastaviolenzasulledonne nonunadimeno books racconti,0,1,1
stasera siamo al cinema mexico maria arena proiezione del documentario terribile inganno nonunadimeno,0,4,0
avete ordinato bruciamo paura manifesto femminista de dentro ci sono mie foto scattate cile ma soprattutto è libro favoloso nonunadimeno chile lastesis femminismo libri books capovolte book libro elvioladorerestu,0,2,0
come dimenticare gender sardine nonunadimeno senza cannabis l eutanasia metoo del politicamentecorretto lgbt alle prossime elezioni,0,0,0
gennaio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
quando si smetterà cercare mille stupide scuse colpevolizzare vittima punire vero colpevole violenzasulledonne nonunadimeno s t co vofsqaorh,0,1,0
questa cosa va ricordata sempre e non solo oggi nonunadimeno stopviolenzasulledonne,348,0,0
gennaio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
uruguay nonunadimeno migliaia donne piazza contro cultura stupro,0,0,0
ricordiamodomani febbraio nasceva beatrice cenci eroica nobildonna romana fu giustiziata anni aver ucciso padre sottoponeva violenze ed abusi sessuali diventata simbolo contro violenza sulle donne,5,4,1
nello spot televivo celebra l arrivo del papafrancesco fazio mostrate anche immagini bergoglio prende schiaffi mano della cinese serie no violenza sulle donne,0,0,1
contro violenza sulle donne ma quanti schiaffi ti tirerei svegliarti po,0,0,1
oggi è giornata internazionale l eliminazione della violenza contro donne e vi ricordo numero antiviole,368,0,1
oggi è giornata internazionale l eliminazione della violenza contro donne e vi ricordo numero antiviole,368,0,1
ragazzi del telese visita all emeroteca valentino custodisce nostra memoria e al comune ischia parlare,1,0,1
giorno sono tutti antirazzisti giorno sono contro violenza sulle donne giorno scrivono messaggi conforto chi ha tumore giorno condannano l odio sul web altro giorno si dedicano alle battute meschine cosa riesce meglio agli imbecilli,0,1,0
ragazzi del telese visita all emeroteca valentino custodisce nostra memoria e al comune ischia parlare pari opportunità e violenza sulle donne presidio libera ischia e procida sxuxmfyd,1,3,1
anno senza angela romanin delle voci più autorevoli nella lotta contro violenza sulle donne,1,0,1
questa vergogna incitando disumana disonesta non sarebbe stata permessa al piano piano si e reso normale quanto normale non e bullismo violenza sulle donne anziani generale disabili animali ecc ecc o valori giovani si ubriacano stare male😭,0,0,0
canzone parla violenza sulle donne nonostante popolo imbecilli non se n è reso conto,0,3,1
anno senza angela romanin delle voci più autorevoli nella lotta contro violenza sulle donne s t co syhcwekx,1,1,1
violenza sulle donne segreti e bugie,0,0,1
torno ribadirlo italia gente come nandez e portanova gioca tranquillamente calcio paesi come regno unito e,1,0,1
torno ribadirlo italia gente come nandez e portanova gioca tranquillamente calcio paesi come regno unito e brasile chi è accusato violenza sulle donne viene sospeso o lasciato senza contratto vediamo svegliarci,1,3,0
pubblicato l avviso finanziamento iniziative informazione e sensibilizzazione rivolti prevenzione del,36,0,1
pandemia e isolamento forzato aumentate violenze sulle donne nel barese hanno vissuto nella paura s t co xdopcepi,0,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
vengano assegnate ad associazioni contro violenza sulle donne,1,0,1
comunque vorrei dire loredana è delle poche artiste si spende sempre violenza sulle donne❤️ sanremo,1,4,1
pubblicato l avviso finanziamento iniziative informazione e sensibilizzazione rivolti prevenzione del,36,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
pubblicato l avviso finanziamento iniziative informazione e sensibilizzazione rivolti prevenzione della violenza maschile contro donne,0,2,1
italia violenze domestiche sono aumentate durante pandemia e tema continua ad essere trattato come dibattito sul singolo caso giudiziario radice del problema è ancora tipo culturale articolo completo,0,3,1
no violenza sulle donne e magari vogliamoci più bene tutti vita è bella e va vissuta ciao elisa bocca al lupo,0,0,2
barbari violenza sulle donne india raggiunge numeri talmente alti diventare emergenza non si può più ignorare agghiacciante,0,3,1
dignità è impedire violenza sulle donne piaga profonda e inaccettabile deve essere contrastata vigore e sanata forza della cultura dell educazione dell esempio,0,0,1
pubblicato l avviso finanziamento iniziative informazione e sensibilizzazione rivolti prevenzione del,36,0,1
po ogni serata del festivaldisanremo è scandita immancabilmente tema capitale violenza sulle donne razzismo mafia l unicità ciascuno discorso brillante segue monolitico inevitabile monologo ma bella ospitata tema libero chiedo troppo,0,0,2
pubblicato l avviso finanziamento iniziative informazione e sensibilizzazione rivolti prevenzione del,36,0,1
pubblicato l avviso finanziamento iniziative informazione e sensibilizzazione rivolti prevenzione del,36,0,1
però nessuno dice nulla quanto riguarda scene violenza sulle donne,1,0,1
pubblicato l avviso finanziamento iniziative informazione e sensibilizzazione rivolti prevenzione del,36,0,1
però nessuno dice nulla quanto riguarda scene violenza sulle donne,1,20,1
pubblicato l avviso finanziamento iniziative informazione e sensibilizzazione rivolti prevenzione della violenza maschile contro donne maggiori informazioni s t co negriikwzt,36,81,0
self love opera fatta raccolta fondi contro violenza sulle donne beatricebibiuberti selflove controlaviolenzasulledonne controlaviolenza glowup red heart tears watercolorart watercolor watercolordaily,0,0,2
presidente della repubblica permette violenza sulle donne e sui minorrenni e disabili rieti e legge fa schedine o corruzione cibo e falsa testimonianza dobbiamo ribelarci cose devono cambiare basta violenza sulle donne e minorenni e disabili,0,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
si voleva sentirmi durante giornata della violenza sulle donne novembre fatto sta avevo cosa l università e mi disse lasciar perdere era più importante sta cosa è tipo okay credici,0,1,0
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
ho lasciato facebook l ennesima mi ha bloccato accusandomi essere autore post discriminanti dire sono contro immigrazione clandestina e essere contro violenza sulle donne facebook non è accettabile vi saluto e vi schifo,0,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
drusilla foer sanremo chi è conduttrice affianca amadeus domani trovo qualcosa stride nel cuore mi espongo e non parlo solo dei temi lgbt ma anche della violenza sulle donne dei diritti sul lavoro,0,0,1
drusilla foer sono bandiera ciò penso liguria sa stride nel cuore mi espongo e non parlo solo dei temi lgbt ma anche della violenza sulle donne dei diritti sul,0,0,1
nel caso giustificherei violenza sulle donne nonsiamopiuvivi,0,0,0
non è completamente estinto ma non siamo nemmeno messe come mia nonna manco si sognava avere voce capitolo cosa non è cambiata è violenza delle donne sulle donne shaming non delle vittime ma opinioni altrui solo sentirsi più toste,0,0,1
dignità è impedire violenza sulle donne mattarellabis,10,0,1
giusto partirei due grandi emergenze del paese cui buoni propositi non bastano piu sicurezza sul lavoro persone muoiono sul lavoro ogni giorno e violenza sulle donne donna viene uccisa ogni tre giorni due stragi silenziose allavoroeallalotta sjolmdh,0,1,0
menata delnrazzismo sanremo è come violenza sulle donne scorso anno nient altro vetrina solite bandierine della ignoratele e lasciate si autoflagellino soli,0,0,1
questa è stessa italia vede parlamento gremito esaltato e festante aver affossato ddl zan e tutti assent,1,0,2
dignità è impedire violenza sulle donne mattarellabis,10,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
questa è stessa italia vede parlamento gremito esaltato e festante aver affossato ddl zan e tutti assenti quando lunedì si deve discutere violenza sulle donne eutanasia ecc n,1,11,2
ieri sera opera nozze figaro nella interpretazione contemporanea sono divenute strumento lanciare messaggio contro violenza sulle donne,0,6,1
non solo temi lgbt ma anche violenza sulle donne lavoro sono bandiera penso e penso tante cose,24,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
ilunaticiasanremo è vero peccato palco dell ariston e politica non dedichi spazio contro violenza sulle donne,0,1,1
violenza sulle donne é superiorità certi uomini sentono dover mostrare sentirsi qualcuno altri come ospiti abbiamo acquisito é tradizione dovremmo insegnarli vivere secondo nostre tradizioni se vogliono vivere paese,0,0,2
potevi spiegargli è divenuto popolare negli anni durante protesta parità e diritti,5,0,1
sanremo passione grinta e cuore emma canzone parla sì violenza sulle donne ma senza frasi fa,9,0,1
bello significato vestiti della rappresentante lista rosa è colore della violenza sulle donne vestito bruciato replicare vestiti strappati durante violenza unici sanremo,1,13,2
blog violenza sulle donne e affidi diritti dei minori non ascoltati alley oop s t co fobbfm,0,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
questi applaudono quando mattarella parla dignità violenza sulle donne tratta esseri umani sono stessi c,42,0,1
dignità è impedire violenza sulle donne mattarellabis,10,0,1
blog violenza sulle donne e affidi diritti dei minori non ascoltati alley oop s t co luyamjtzan,1,2,1
non solo temi lgbt ma anche violenza sulle donne lavoro sono bandiera penso e penso tante cose,24,0,1
non solo temi lgbt ma anche violenza sulle donne lavoro sono bandiera penso e penso tante cose,24,0,1
questi applaudono quando mattarella parla dignità violenza sulle donne tratta esseri umani sono stessi c,42,0,1
dignità è impedire violenza sulle donne mattarellabis,10,0,1
questi applaudono quando mattarella parla dignità violenza sulle donne tratta esseri umani sono stessi c,42,0,1
capo dello stato nel discorso insediamento ha mostrato sensibilità ed attenzione alle donne e ha ribadito forza violenza sulle donne è piaga inaccettabile questione dignità tutto paese deve essere contrastata vigore,1,9,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
vuole dire azzerare morti sul lavoro opporsi razzismo e antisemitismo impedire violenza sulle donne combattere tratta esseri umani diritto allo studio rispetto anziani contrastare povertà e precarietà,0,0,0
dignità è impedire violenza sulle donne piaga profonda e inaccettabile deve essere contrastata vigore e sanata forza della cultura dell educazione dell esempio,0,0,1
dignità è impedire violenza sulle donne mattarellabis,10,0,1
grande discorso del presidente mattarella parole mi sono piaciute e colpito giustizia va riformata profond,2,0,2
questi applaudono quando mattarella parla dignità violenza sulle donne tratta esseri umani sono stessi c,42,0,1
grande discorso del presidente mattarella parole mi sono piaciute e colpito giustizia va riformata profond,2,0,2
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
dignità è impedire violenza sulle donne piaga profonda e inaccettabile deve essere contrastata vigore e sanata forza della cultura dell educazione dell esempio,0,2,1
gesto divenuto popolare negli anni settanta durante proteste parità e diritti delle donne fu usato parigi nel durante convegno trattava modo evocativo violenza sulle donne svsndk,0,1,1
questi applaudono quando mattarella parla dignità violenza sulle donne tratta esseri umani sono stessi c,42,0,1
nel discorso c ha messo tutto non si è dimenticato niente e soprattutto nessuno parola chiave è stata dignità ha ricordato lorenzo violenza sulle donne l antisemitismo razzismo sicurezza sul lavoro aiuti chi è difficoltà no conflitti,0,1,0
sanremo passione grinta e cuore emma canzone parla sì violenza sulle donne ma senza frasi fa,9,0,1
parola chiave del discorso mattarella dopo giuramento è stata dignit dignità è azzerare morti sul lavoro,3,0,0
dignità è impedire violenza sulle donne piaga profonda inaccettabile deve essere contrastata vigore,3,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
dignità è azzerare morti sul lavoro feriscono società dignità è impedire violenza sulle donne 👏👏 matt,24,0,0
dignità è impedire violenza sulle donne mattarellabis,10,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
dignità è azzerare morti sul lavoro feriscono nostra società dignità è opporti al razzismo e all antisemitismo dignità è impedire violenza sulle donne dignità è diritto vita nelle migrazioni quando neghiamo diritto vita,0,1,0
stop violenza sulle donne,0,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigore e sanata forza della cultura dell educazione dell esempio parole come queste dovrebbero esserci milioni like,0,0,1
continuo pensare media abbiano cominciato parlare violenza sulle donne solo capito questa come resto della cronaca nera portava ascolti altrimenti non si spiega come quando decenni fa donne ammazzate erano molte più non parlavano,0,0,2
sanremo passione grinta e cuore emma canzone parla sì violenza sulle donne ma senza frasi fa,9,0,1
dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigore e sanata forza della cultura dell educazione dell esempio sergiomattarella discorsomattarella,0,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
violenza sulle donne è piaga inaccettabile contrastare e sanare ha detto sergio mattarella,4,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
dignità sociale sul lavoro delle migrazioni opporsi al razzismo impedire violenza sulle donne è diritto allo studio contrasto delle povertà è non dover scegliere lavoro maternità è non avere carceri sovraffollate è pietra angolare del impegno mattarella,0,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
dignità è impedire violenza sulle donne mattarella giuramento,5,0,1
presidentedellarepubblica mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga,8,0,1
mattarella dignità è impedire violenza sulle donne profonda inaccettabile piaga deve essere contrastata vigor,390,0,1
